Aircraft Registration,Trax,Non-Routine/ Complaint/ WO Number,.pdf Document Name,Reported Date,ATA,Sub-ATA,Section,To Section,Station,Plus,mm/ Inch,To Station,Plus,mm/ Inch,Stringer,Plus,mm/ Inch,To Stringer,Plus,mm/ Inch,Water Line,To Water Line,Buttock Line,To Buttock Line,Damage Type,Component,Component,In Limits,In Limits Acc. Maint Data,Repair Performed,Repair Type,Repair Maintenance Data,Dimension:,mm/ Inch,Dimension,mm/ Inch,,mm/ Inch,Blend Repair,Blend Width,mm/ Inch,Blend Length,mm/ Inch,Blend Remaining Thickness,mm/ Inch,"Repair Status (A,B,C, N/A)",Major Repair,
,Defect Report Number,(MRO's reference number),,,,,,,,,,,,,,,,,,,,,,,,PN,SN,IN/OUT,,Y/N,,,(L) ,,(W) ,,Dimension,,Y/N,,,,,,,,Y/N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Y),,,,,,,,,,,
PH-HSA,,WO6006342-1,SDR_065_WO6006342,7/2/2023,53,10,41,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 53-10-14 AD 2,,,,,,,,,,,,,,CAT-B,N,Panel 113BW
PH-HSA,,WO5908454-1,SDR_066_WO5908454,11/20/2022,53,30,43,,460,,,480,,,S-8L,,,S-9L,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01 Repair 38,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO5908455-1,SDR_067_WO5908455,11/20/2022,53,30,43,,480,,,500,,,S-8L,,,S-9L,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01 Repair 38,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO5908459-1,SDR_068_WO5908459,11/20/2022,53,30,43,,500D,270,mm,500E,,,S-7L,,,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01 Repair 41,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO5908462-1,SDR_069_WO5908462,11/20/2022,53,30,43,,500I,,,,,,S-5L,,,S-6L,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01 Repair 38,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO5908467-1,SDR_070_WO5908467,11/20/2022,53,30,43,,500F,170,mm,500G,,,S-6L,,,S-7L,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01 Repair 38,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO5908472-1,SDR_071_WO5908472,11/20/2022,53,30,43,,500G,,,500H,,,S-6L,,,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01 Repair 41,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO5908475-1,SDR_072_WO5908475,11/20/2022,53,30,44,,540,,,559,,,S-5L,,,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01 Repair 41,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO5908477-1,SDR_073_WO5908477,11/20/2022,53,30,44,,616,,,,,,S-4L,55,mm,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01 Repair 41,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO6007868-1 (LH side),SDR_074_WO6007868,2/13/2023,53,30,47,,986.5,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,REWORK,SRM 53-70-51 Repair 6,,,,,,,,,,,,,,CAT-A,N,Upper Chord LH side
PH-HSA,,WO6007868-1 (RH side),SDR_074_WO6007868,2/13/2023,53,30,47,,986.5,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,REWORK,SRM 53-70-51 Repair 6,,,,,,,,,,,,,,CAT-A,N,Upper Chord LH side
PH-HSA,,WO6007534-1 (Wear 1),SDR_075_WO6007534,10/2/2023,53,30,41,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0070-02B,,,,,,,Y,14,mm,8,mm,,,CAT-A,N,Panel 194 AR
PH-HSA,,WO6007534-1 (Wear 2),SDR_075_WO6007534,10/2/2023,53,30,41,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0070-02B,,,,,,,Y,18,mm,12,mm,,,CAT-A,N,Panel 194 AR
PH-HSA,,WO6007534-1 (Wear 3),SDR_075_WO6007534,10/2/2023,53,30,41,,,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 53-60-70 (Paint touch up),,,,,,,,,,,,,,CAT-A,N,Panel 194 AR
PH-HSA,,WO6007552-1 (Wear 1),SDR_076_WO6007552,10/2/2023,53,30,41,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0070-02B,,,,,,,Y,12,mm,10,mm,,,CAT-A,N,Panel 194FL
PH-HSA,,WO6007552-1 (Wear 2),SDR_076_WO6007552,10/2/2023,53,30,41,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,BLEND REPAIR,SRM 53-60-70 (Paint touch up),,,,,,,,,,,,,,CAT-A,N,Panel 194FL
PH-HSA,,WO6007751-1,SDR_077_WO6007751,12/2/2023,57,53,WING LH,,FLAP-MN-OB,,,,,,,,,,,,,,,,GOUGE,113A3100-25,2968,OUT,,Y,BLEND REPAIR,SRM 57-53-02 AD 3,,,,,,,Y,,,,mm,"7,10",mm,CAT-A,N,
PH-HSA,,WO6007758-1,SDR_078_WO6007758,12/2/2023,57,53,WING LH,,FLAP-MN-IN,,,,,,,,,,,,,,,,WEAR,113A2100-61,12700,OUT,,Y,BLEND REPAIR,SRM 57-53-02 AD 1,,,,,,,Y,,,,,,,CAT-A,N,
PH-HSA,,WO6007898-1,SDR_079_WO6007898,12/2/2023,57,53,WING RH,,FLAP-MN-IN,,,,,,,,,,,,,,,,WEAR,113A2100-62,2637,OUT,,Y,BLEND REPAIR,SRM 57-53-02 AD 1,,,,,,,Y,,,,,,,CAT-A,N,
PH-HSA,,WO6006261-1,SDR_080_WO6006261,6/2/2023,54,70,,,,,,,,,,,,,,,,,,,GOUGE,CFM56-7BE,ESN862885,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0061-06B,,,,,,,Y,,mm,,mm,,mm,CAT-A,N,No.1 Eng FWd LH link
,,,,,,,,,,,,,,,,,,,,,,,,,,310A2022-4,,,,,,,,,,,,,,,,,,,,,,
PH-HSA,,WO6006092-1,SDR_081_WO6006092,5/2/2023,57,41,WING RH,,,,,,,,,,,,,,,,,,WEAR,116A8510-15,7370903-0888,OUT,,Y,COMPOSITE REPAIR,SRM 57-41-01 Repair 1 CM 166338,,,,,,,,,,,,,,CAT-A,N,defuel panel 621EB
PH-HSA,,WO6008366-1,SDR_082_WO6008366,2/15/2023,54,20,NAC LH,,,,,,,,,,,,,,,,,,GOUGE,314-2200-16,11800001,OUT,,Y,BLEND REPAIR,SRM 54-20-01 AD 1,,,,,,,Y,"2,20",mm,"32,77",mm,,,CAT-A,N,No.2 Eng LH Fan cowl
PH-HSA,,WO6009838-1,SDR_083_WO6009838,2/21/2023,57,53,WING RH,,,,,,,,,,,,,,,,,,SCRATCH,113A9304,,OUT,,Y,BLEND REPAIR,SRM 57-53-71,,,,,,,Y,,,,,,,CAT-A,N,AFT Upper attach beam
PH-HSA,,WO6006198-1,SDR_084_WO6006198,6/2/2023,57,53,WING RH,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,COMPOSITE REPAIR,SRM 51-70-04 Repair 9 CM 166446,,,,,,,,,,,,,,CAT-A,N,Fairing assembly No.6
PH-HSA,,WO6006956-1,SDR_085_WO6006956,8/2/2023,57,53,WING LH,,,,,,,,,,,,,,,,,,DELAM,113A9110-1,2725,OUT,,Y,COMPOSITE REPAIR,SRM 51-70-05 Repair 10 CM 166415,,,,,,,,,,,,,,CAT-A,N,Fairing assembly No.1
PH-HSA,,WO6006957-1,SDR_086_WO6006957,8/2/2023,57,53,WING LH,,,,,,,,,,,,,,,,,,DELAM,113A9210-1,2723,OUT,,Y,COMPOSITE REPAIR,SRM 51-70-05 Repair 10 CM 166414,,,,,,,,,,,,,,CAT-A,N,Fairing assembly No.2
PH-HSA,,WO6007826-1,SDR_087_WO6007826,12/2/2023,57,30,WING RH,,WINGTIP,,,,,,,,,,,,,,,,CORROSION,737-0010-36,C0408,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0005-02B,,,,,,,Y,,,"412,75",mm,"3,37",mm,CAT-A,N,
PH-HSA,,WO6006184-1,SDR_088_WO6006184,6/2/2023,57,53,WING RH,,FLAP-AFT-OB,,,,,,,,,,,,,,,,DELAM,113A3700-8,296,OUT,,Y,COMPOSITE REPAIR,SRM 57-53-01 Repair 16 CM 166445,,,,,,,,,,,,,,CAT-A,N,3inches from AFT edge
PH-HSA,,WO6007758-1,SDR_089_WO6007758,12/2/2023,57,53,WING LH,,FLAP-MN-IN,,,,,,,,,,,,,,,,WEAR,113A2100-61,T2700,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0089-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO6008488-1,SDR_090_WO6008488,11/20/2022,53,30,44,,540,-165,mm,,,,S-5L,50,mm,,,,,,,,L-STRIKE,,,OUT,,Y,BLEND REPAIR,No. CZT-TAV-23-0062-03B FAA 8100-9,,,,,,,Y,30,mm,30,mm,"8,8",mm,CAT-B,N,
PH-HSA,,WO6006231-1,SDR_091_WO6006231,6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,WEAR,314-2100-2,698001,OUT,,Y,FASTENER REPLACEMENT,SRM 54-10-01 AD 1,,,,,,,,,,,,,,CAT-A,N,2 oclock
PH-HSA,,WO6008438-1,SDR_092_WO6008438,11/20/2022,53,30,43,,380,,,,,,S-8L,,,S-9L,,,,,,,L-STRIKE,,,OUT,,Y,DOUBLER,CZT-TAV-23-0073-03B FAA 8100-9,280,mm,440,mm,,,,,,,,,,CAT-B,N,
PH-HSA,,WO6006922-1,SDR_093_WO6006922,8/2/2023,57,10,44,,663.75,,,,,,,,,,,,,,,,CRACK,,,OUT,,Y,SPLICE REPAIR,SRM 57-10-10 Repair 5,,,,,,,,,,,,,,CAT-A,N,Attach angle
PH-HSA,,WO6006953-1,SDR_094_WO6006953,8/2/2023,57,41,WING LH,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,FASTENER REPLACEMENT,SRM 57-41-10 Repair 7,,,,,,,,,,,,,,CAT-A,N,loose rivets
PH-HSA,,WO6007609-1,SDR_095_WO6007609,11/2/2023,53,10,41,,,,,,,,,,,,,,,,,,CRACK,,,OUT,,Y,SPLICE REPAIR,SB 737-53-1336,,,,,,,,,,,,,,CAT-A,N,No.1 window frame
PH-HSA,,WO6007375-1,SDR_096_WO6007375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH-HSA,,WO6007429-1,SDR_097_WO6007429,10/2/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH-HSA,,WO6007760-1 (Blend 1),SDR_098_WO6007760,12/2/2023,57,30,WING LH,,WINGTIP,,,,,,,,,,,,,,,,CORROSION,737-0010-35,C1250,OUT,,Y,DOUBLER,RDR No. CZT-TAV-23-0083-10B,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO6007760-1 (Blend 2),SDR_098_WO6007760,12/2/2023,57,30,WING LH,,WINGTIP,,,,,,,,,,,,,,,,CORROSION,737-0010-35,C1250,OUT,,Y,DOUBLER,RDR No. CZT-TAV-23-0083-10B,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO6007621-1,SDR_099_WO6007621,11/2/2023,57,51,WING LH,,,,,,,,,,,,,,,,,,WEAR,115A2512-29,,OUT,,Y,COMPOSITE REPAIR,SRM 57-51-01 Repair 1,,,,,,,,,,,,,,CAT-A,N,LH deflection control panel
PH-HSA,,WO6007886-1,SDR_100_WO6007886,2/13/2023,53,0,46,,727B,,,727H,,,,,,,,,,,BL-20L,,CRACK,,,OUT,,Y,SPLICE REPAIR,SRM 53-00-53 Repair 5,,,,,,,,,,,,,,CAT-A,N,
PH-HSA,,WO6006477-1,SDR_101_WO6006477,7/2/2023,55,,HOR STAB L,,,,,,,,,,,,,,,,,,CRACK,185A1702-9970,,OUT,,Y,COMPOSITE REPAIR,SRM 51-70-04 Repair 9 CM 166537,,,,,,,,,,,,,,CAT-A,N,Panel 343DB
PH-HSA,,WO6006479-1,SDR_102_WO6006479,7/2/2023,55,,HOR STAB L,,,,,,,,,,,,,,,,,,CRACK,185A1702-9961,,OUT,,Y,COMPOSITE REPAIR,SRM 51-70-04 Repair 9 CM 166535,,,,,,,,,,,,,,CAT-A,N,Panel 333CB
PH-HSA,,WO6006480-1,SDR_103_WO6006480,7/2/2023,55,,HOR STAB L,,,,,,,,,,,,,,,,,,CRACK,185A1702-901,,OUT,,Y,COMPOSITE REPAIR,SRM 51-70-04 Repair 9 CM 166539,,,,,,,,,,,,,,CAT-A,N,Panel 333BB
PH-HSA,,WO6006228-1,SDR_104_WO6006228 (Blend 1),6/2/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,1014001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,10,mm,15,mm,"1,72",mm,CAT-A,N,2 oclock
PH-HSA,,WO6006228-1,SDR_104_WO6006228 (Blend 2),6/2/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,1014001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,,mm,23,mm,"1,73",mm,CAT-A,N,2:30 oclock
PH-HSA,,WO6006228-1,SDR_104_WO6006228 (Blend 3),6/2/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,1014001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,,mm,25,mm,"1,69",mm,CAT-A,N,5:30 oclock
PH-HSA,,WO6006228-1,SDR_104_WO6006228 (Blend 4),6/2/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,1014001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,,mm,17,mm,"1,70",mm,CAT-A,N,9 oclock
PH-HSA,,WO6006228-1,SDR_104_WO6006228 (Blend 5),6/2/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,1014001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,,mm,15,mm,"1,71",mm,CAT-A,N,9:10 oclock
PH-HSA,,WO6006228-1,SDR_104_WO6006228 (Blend 6),6/2/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,1014001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,,mm,16,mm,"1,72",mm,CAT-A,N,10 oclock
PH-HSA,,WO6006228-1,SDR_104_WO6006228 (Blend 7),6/2/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,1014001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,,mm,20,mm,"1,70",mm,CAT-A,N,10:10 oclock
PH-HSA,,WO6006228-1,SDR_104_WO6006228 (Blend 8),6/2/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,1014001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,,mm,35,mm,"1,69",mm,CAT-A,N,3 oclock
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion1),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,40,mm,40,mm,"1,69",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion2),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,40,mm,40,mm,"1,72",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion3),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,35,mm,40,mm,"1,46",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion4),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,40,mm,40,mm,"1,56",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion5),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,40,mm,70,mm,"1,36",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion6),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,40,mm,40,mm,"1,56",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion7),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,15,mm,20,mm,"1,63",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion8),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,40,mm,70,mm,"1,56",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion9),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,35,mm,40,mm,"1,76",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion10),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,40,mm,80,mm,"1,66",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion11),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,30,mm,35,mm,"1,70",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion12),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,30,mm,35,mm,"1,65",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion13),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,40,mm,45,mm,"1,41",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion14),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,45,mm,110,mm,"1,47",mm,CAT-A,N,
PH-HSA,,WO6006229-1,SDR_105_WO6006229 (Corrosion15),6/2/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,RDR No. CZT-TAV-23-0080-5B,,,,,,,Y,50,mm,50,mm,"1,40",mm,CAT-A,N,
PH-HSA,,WO6008469-1,SDR_106_WO6008469 (Corrosion 1),2/15/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,20,mm,30,mm,"1,58",mm,CAT-A,N,4 oclock
PH-HSA,,WO6008469-1,SDR_106_WO6008469 (Corrosion 2),2/15/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,25,mm,40,mm,"1,59",mm,CAT-A,N,5 oclock
